Connecting to host 10.0.1.102, port 5201
[  5] local 10.0.1.101 port 49456 connected to 10.0.1.102 port 5201
[  5] 132.00-133.00 sec  11.0 MBytes  92.3 Mbits/sec    0   12.3 MBytes       
[  5] 133.00-134.00 sec  17.6 MBytes   148 Mbits/sec    0   12.3 MBytes       
[  5] 134.00-135.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 135.00-136.01 sec  15.8 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5] 136.01-137.00 sec  10.5 MBytes  88.5 Mbits/sec    0   12.3 MBytes       
[  5] 137.00-138.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 138.00-139.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.3 MBytes       
[  5] 139.00-140.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.3 MBytes       
[  5] 140.00-141.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 141.00-142.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 142.00-143.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 143.00-144.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 144.00-145.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 145.00-146.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 146.00-147.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.3 MBytes       
[  5] 147.00-148.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 148.00-149.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 149.00-150.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 150.00-151.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 151.00-152.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 152.00-153.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 153.00-154.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 154.00-155.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 155.00-156.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 156.00-157.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 157.00-158.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 158.00-159.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 159.00-160.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 160.00-161.00 sec  10.6 MBytes  88.9 Mbits/sec    0   12.3 MBytes       
[  5] 161.00-162.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 162.00-163.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 163.00-164.01 sec  16.0 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 164.01-165.00 sec  10.5 MBytes  88.8 Mbits/sec    0   12.3 MBytes       
[  5] 165.00-166.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 166.00-167.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 167.00-168.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 168.00-169.01 sec  15.8 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5] 169.01-170.00 sec  10.6 MBytes  89.9 Mbits/sec    0   12.3 MBytes       
[  5] 170.00-171.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 171.00-172.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 172.00-173.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 173.00-174.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 174.00-175.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 175.00-176.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 176.00-177.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 177.00-178.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 178.00-179.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 179.00-180.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 180.00-181.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 181.00-182.00 sec  15.6 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5] 182.00-183.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 183.00-184.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 184.00-185.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 185.00-186.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 186.00-187.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.3 MBytes       
[  5] 187.00-188.01 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 188.01-189.00 sec  10.5 MBytes  88.4 Mbits/sec    0   12.3 MBytes       
[  5] 189.00-190.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 190.00-191.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 191.00-192.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 192.00-193.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 193.00-194.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 194.00-195.00 sec  10.4 MBytes  86.9 Mbits/sec    0   12.3 MBytes       
[  5] 195.00-196.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 196.00-197.00 sec  10.5 MBytes  88.3 Mbits/sec    0   12.3 MBytes       
[  5] 197.00-198.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 198.00-199.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 199.00-200.00 sec  10.5 MBytes  88.3 Mbits/sec    0   12.3 MBytes       
[  5] 200.00-201.00 sec  10.5 MBytes  87.7 Mbits/sec    0   12.3 MBytes       
[  5] 201.00-202.00 sec  15.9 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 202.00-203.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 203.00-204.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 204.00-205.01 sec  10.5 MBytes  87.4 Mbits/sec    0   12.3 MBytes       
[  5] 205.01-206.00 sec  15.8 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 206.00-207.00 sec  10.4 MBytes  86.9 Mbits/sec    0   12.3 MBytes       
[  5] 207.00-208.00 sec  10.6 MBytes  89.3 Mbits/sec    0   12.3 MBytes       
[  5] 208.00-209.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 209.00-210.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 210.00-211.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 211.00-212.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.3 MBytes       
[  5] 212.00-213.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 213.00-214.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 214.00-215.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 215.00-216.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 216.00-217.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 217.00-218.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 218.00-219.00 sec  15.8 MBytes   132 Mbits/sec  184   10.4 MBytes       
[  5] 219.00-220.00 sec  12.9 MBytes   108 Mbits/sec  524   8.67 MBytes       
[  5] 220.00-221.00 sec  10.6 MBytes  89.2 Mbits/sec    0   9.05 MBytes       
[  5] 221.00-222.00 sec  10.8 MBytes  90.2 Mbits/sec    0   9.46 MBytes       
[  5] 222.00-223.00 sec  16.1 MBytes   135 Mbits/sec    0   9.95 MBytes       
[  5] 223.00-224.00 sec  16.0 MBytes   134 Mbits/sec    0   10.4 MBytes       
[  5] 224.00-225.00 sec  10.6 MBytes  89.1 Mbits/sec    0   10.7 MBytes       
[  5] 225.00-226.00 sec  10.5 MBytes  88.1 Mbits/sec    0   11.0 MBytes       
[  5] 226.00-227.00 sec  10.6 MBytes  89.1 Mbits/sec    0   11.3 MBytes       
[  5] 227.00-228.00 sec  15.9 MBytes   133 Mbits/sec    0   11.5 MBytes       
[  5] 228.00-229.00 sec  15.8 MBytes   132 Mbits/sec    0   11.7 MBytes       
[  5] 229.00-230.00 sec  10.6 MBytes  89.2 Mbits/sec    0   11.9 MBytes       
[  5] 230.00-231.00 sec  15.9 MBytes   133 Mbits/sec    0   12.0 MBytes       
[  5] 231.00-232.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.1 MBytes       
[  5] 232.00-233.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.2 MBytes       
[  5] 233.00-234.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 234.00-235.01 sec  10.5 MBytes  87.5 Mbits/sec    0   12.2 MBytes       
[  5] 235.01-236.00 sec  15.6 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 236.00-237.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 237.00-238.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 238.00-239.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 239.00-240.00 sec  21.2 MBytes   178 Mbits/sec    0   12.2 MBytes       
[  5] 240.00-241.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 241.00-242.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 242.00-243.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 243.00-244.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 244.00-245.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 245.00-246.00 sec  15.6 MBytes   131 Mbits/sec    0   12.2 MBytes       
[  5] 246.00-247.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 247.00-248.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 248.00-249.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 249.00-250.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 250.00-251.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 251.00-252.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 252.00-253.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 253.00-254.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 254.00-255.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 255.00-256.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 256.00-257.00 sec  10.4 MBytes  86.8 Mbits/sec    0   12.2 MBytes       
[  5] 257.00-258.00 sec  15.9 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 258.00-259.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 259.00-260.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 260.00-261.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 261.00-262.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 262.00-263.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 263.00-264.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 264.00-265.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 265.00-266.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 266.00-267.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 267.00-268.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 268.00-269.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 269.00-270.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 270.00-271.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 271.00-272.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 272.00-273.00 sec  16.0 MBytes   134 Mbits/sec   26   12.2 MBytes       
[  5] 273.00-274.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 274.00-275.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 275.00-276.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 276.00-277.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 277.00-278.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 278.00-279.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 279.00-280.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.2 MBytes       
[  5] 280.00-281.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 281.00-282.00 sec  10.6 MBytes  89.3 Mbits/sec    0   12.2 MBytes       
[  5] 282.00-283.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 283.00-284.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 284.00-285.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.2 MBytes       
[  5] 285.00-286.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 286.00-287.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
