Connecting to host 10.0.1.102, port 5201
[  5] local 10.0.1.101 port 49456 connected to 10.0.1.102 port 5201
[  5] 577.00-578.00 sec  13.0 MBytes   109 Mbits/sec    0   12.3 MBytes       
[  5] 578.00-579.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 579.00-580.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 580.00-581.00 sec  16.1 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 581.00-582.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 582.00-583.00 sec  16.1 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 583.00-584.00 sec  11.0 MBytes  92.2 Mbits/sec    0   12.3 MBytes       
[  5] 584.00-585.00 sec  12.5 MBytes   105 Mbits/sec    0   12.3 MBytes       
[  5] 585.00-586.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.3 MBytes       
[  5] 586.00-587.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 587.00-588.00 sec  16.2 MBytes   136 Mbits/sec    0   12.3 MBytes       
[  5] 588.00-589.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 589.00-590.01 sec  15.9 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 590.01-591.00 sec  12.6 MBytes   107 Mbits/sec    0   12.3 MBytes       
[  5] 591.00-592.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 592.00-593.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 593.00-594.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 594.00-595.01 sec  10.6 MBytes  88.5 Mbits/sec    0   12.3 MBytes       
[  5] 595.01-596.00 sec  10.5 MBytes  88.6 Mbits/sec    0   12.3 MBytes       
[  5] 596.00-597.00 sec  11.2 MBytes  94.4 Mbits/sec    0   12.3 MBytes       
[  5] 597.00-598.01 sec  15.9 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 598.01-599.00 sec  15.9 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 599.00-600.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 600.00-601.00 sec  16.6 MBytes   139 Mbits/sec    0   12.3 MBytes       
[  5] 601.00-602.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 602.00-603.00 sec  10.8 MBytes  90.1 Mbits/sec    8   12.3 MBytes       
[  5] 603.00-604.00 sec  16.1 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 604.00-605.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 605.00-606.00 sec  10.4 MBytes  86.9 Mbits/sec    0   12.3 MBytes       
[  5] 606.00-607.00 sec  16.1 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 607.00-608.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.3 MBytes       
[  5] 608.00-609.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 609.00-610.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 610.00-611.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 611.00-612.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 612.00-613.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 613.00-614.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 614.00-615.06 sec  10.5 MBytes  83.1 Mbits/sec    0   12.3 MBytes       
[  5] 615.06-616.00 sec  10.4 MBytes  92.3 Mbits/sec    0   12.3 MBytes       
[  5] 616.00-617.00 sec  16.0 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 617.00-618.01 sec  10.6 MBytes  88.7 Mbits/sec    0   12.3 MBytes       
[  5] 618.01-619.00 sec  15.9 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 619.00-620.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 620.00-621.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 621.00-622.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 622.00-623.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 623.00-624.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 624.00-625.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 625.00-626.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 626.00-627.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 627.00-628.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 628.00-629.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 629.00-630.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 630.00-631.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 631.00-632.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 632.00-633.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 633.00-634.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 634.00-635.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 635.00-636.00 sec  10.4 MBytes  87.0 Mbits/sec    1   12.3 MBytes       
[  5] 636.00-637.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 637.00-638.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 638.00-639.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 639.00-640.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 640.00-641.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 641.00-642.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 642.00-643.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.3 MBytes       
[  5] 643.00-644.01 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 644.01-645.00 sec  10.5 MBytes  88.5 Mbits/sec    0   12.3 MBytes       
[  5] 645.00-646.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 646.00-647.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 647.00-648.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 648.00-649.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 649.00-650.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 650.00-651.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.3 MBytes       
[  5] 651.00-652.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 652.00-653.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 653.00-654.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 654.00-655.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 655.00-656.00 sec  16.1 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 656.00-657.04 sec  10.4 MBytes  84.1 Mbits/sec    0   12.3 MBytes       
[  5] 657.04-658.00 sec  16.4 MBytes   142 Mbits/sec    0   12.3 MBytes       
[  5] 658.00-659.00 sec  11.4 MBytes  95.3 Mbits/sec    0   12.3 MBytes       
[  5] 659.00-660.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 660.00-661.00 sec  11.0 MBytes  92.2 Mbits/sec    0   12.3 MBytes       
[  5] 661.00-662.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 662.00-663.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 663.00-664.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 664.00-665.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 665.00-666.00 sec  15.6 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5] 666.00-667.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 667.00-668.00 sec  11.9 MBytes  99.6 Mbits/sec    0   12.3 MBytes       
[  5] 668.00-669.00 sec  11.1 MBytes  93.3 Mbits/sec  844   8.58 MBytes       
[  5] 669.00-670.00 sec  14.9 MBytes   125 Mbits/sec    0   8.64 MBytes       
[  5] 670.00-671.00 sec  16.5 MBytes   138 Mbits/sec    0   9.05 MBytes       
[  5] 671.00-672.00 sec  10.6 MBytes  89.1 Mbits/sec    0   9.45 MBytes       
[  5] 672.00-673.00 sec  10.6 MBytes  89.2 Mbits/sec    0   9.89 MBytes       
[  5] 673.00-674.00 sec  10.8 MBytes  90.0 Mbits/sec    0   10.3 MBytes       
[  5] 674.00-675.02 sec  15.9 MBytes   131 Mbits/sec    0   10.7 MBytes       
[  5] 675.02-676.00 sec  10.6 MBytes  90.5 Mbits/sec    0   10.9 MBytes       
[  5] 676.00-677.00 sec  10.5 MBytes  88.2 Mbits/sec    0   11.2 MBytes       
[  5] 677.00-678.00 sec  10.6 MBytes  89.1 Mbits/sec    0   11.4 MBytes       
[  5] 678.00-679.00 sec  15.9 MBytes   133 Mbits/sec    0   11.6 MBytes       
[  5] 679.00-680.00 sec  10.6 MBytes  89.1 Mbits/sec    0   11.8 MBytes       
[  5] 680.00-681.00 sec  10.4 MBytes  87.0 Mbits/sec    0   11.9 MBytes       
[  5] 681.00-682.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.0 MBytes       
[  5] 682.00-683.00 sec  15.9 MBytes   133 Mbits/sec    0   12.1 MBytes       
[  5] 683.00-684.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 684.00-685.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 685.00-686.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 686.00-687.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 687.00-688.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 688.00-689.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 689.00-690.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 690.00-691.00 sec  10.4 MBytes  86.9 Mbits/sec    0   12.2 MBytes       
[  5] 691.00-692.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 692.00-693.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 693.00-694.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 694.00-695.01 sec  16.2 MBytes   136 Mbits/sec    0   12.2 MBytes       
[  5] 695.01-696.01 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 696.01-697.00 sec  10.5 MBytes  88.6 Mbits/sec    0   12.2 MBytes       
[  5] 697.00-698.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 698.00-699.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 699.00-700.00 sec  10.6 MBytes  89.3 Mbits/sec    0   12.2 MBytes       
[  5] 700.00-701.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 701.00-702.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 702.00-703.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 703.00-704.00 sec  11.8 MBytes  98.4 Mbits/sec    0   12.2 MBytes       
[  5] 704.00-705.00 sec  13.0 MBytes   109 Mbits/sec    0   12.2 MBytes       
[  5] 705.00-706.00 sec  12.2 MBytes   103 Mbits/sec    0   12.2 MBytes       
[  5] 706.00-707.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 707.00-708.00 sec  21.2 MBytes   178 Mbits/sec    0   12.2 MBytes       
[  5] 708.00-709.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 709.00-710.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 710.00-711.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 711.00-712.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 712.00-713.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 713.00-714.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 714.00-715.00 sec  15.6 MBytes   131 Mbits/sec    0   12.2 MBytes       
[  5] 715.00-716.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 716.00-717.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 717.00-718.00 sec  11.4 MBytes  95.4 Mbits/sec    0   12.2 MBytes       
[  5] 718.00-719.00 sec  11.4 MBytes  95.5 Mbits/sec    0   12.2 MBytes       
[  5] 719.00-720.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 720.00-721.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 721.00-722.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 722.00-723.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 723.00-724.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 724.00-725.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 725.00-726.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 726.00-727.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 727.00-728.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.2 MBytes       
[  5] 728.00-729.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 729.00-730.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 730.00-731.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 731.00-732.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 732.00-733.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 733.00-734.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 734.00-735.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 735.00-736.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 736.00-737.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 737.00-738.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 738.00-739.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 739.00-740.03 sec  10.5 MBytes  85.2 Mbits/sec    0   12.2 MBytes       
[  5] 740.03-741.00 sec  10.5 MBytes  91.1 Mbits/sec    0   12.2 MBytes       
[  5] 741.00-742.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 742.00-743.00 sec  16.2 MBytes   136 Mbits/sec    0   12.2 MBytes       
[  5] 743.00-744.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 744.00-745.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 745.00-746.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 746.00-747.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 747.00-748.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 748.00-749.00 sec  11.8 MBytes  98.5 Mbits/sec    0   12.2 MBytes       
[  5] 749.00-750.00 sec  12.1 MBytes   102 Mbits/sec    0   12.2 MBytes       
[  5] 750.00-751.00 sec  10.8 MBytes  90.0 Mbits/sec    0   12.2 MBytes       
[  5] 751.00-752.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 752.00-753.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 753.00-754.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 754.00-755.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 755.00-756.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 756.00-757.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.2 MBytes       
[  5] 757.00-758.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 758.00-759.01 sec  10.4 MBytes  86.0 Mbits/sec    0   12.2 MBytes       
[  5] 759.01-760.00 sec  10.6 MBytes  90.4 Mbits/sec    0   12.2 MBytes       
[  5] 760.00-761.00 sec  15.6 MBytes   131 Mbits/sec    0   12.2 MBytes       
[  5] 761.00-762.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.2 MBytes       
[  5] 762.00-763.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 763.00-764.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 764.00-765.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 765.00-766.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 766.00-767.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 767.00-768.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.2 MBytes       
[  5] 768.00-769.04 sec  10.6 MBytes  85.8 Mbits/sec    0   12.2 MBytes       
[  5] 769.04-770.00 sec  10.5 MBytes  91.5 Mbits/sec    0   12.2 MBytes       
[  5] 770.00-771.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 771.00-772.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 772.00-773.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 773.00-774.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 774.00-775.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 775.00-776.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 776.00-777.00 sec  10.6 MBytes  89.4 Mbits/sec    0   12.2 MBytes       
[  5] 777.00-778.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 778.00-779.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 779.00-780.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 780.00-781.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 781.00-782.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 782.00-783.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 783.00-784.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 784.00-785.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 785.00-786.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 786.00-787.00 sec  5.25 MBytes  44.0 Mbits/sec    0   12.2 MBytes       
[  5] 787.00-788.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 788.00-789.00 sec  10.6 MBytes  89.4 Mbits/sec    0   12.2 MBytes       
[  5] 789.00-790.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 790.00-791.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.2 MBytes       
[  5] 791.00-792.00 sec  10.6 MBytes  89.1 Mbits/sec    8   12.2 MBytes       
[  5] 792.00-793.00 sec  15.8 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 793.00-794.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 794.00-795.00 sec  12.1 MBytes   102 Mbits/sec    0   12.2 MBytes       
[  5] 795.00-796.00 sec  14.2 MBytes   120 Mbits/sec    0   12.2 MBytes       
[  5] 796.00-797.00 sec  10.9 MBytes  91.2 Mbits/sec    0   12.2 MBytes       
[  5] 797.00-798.00 sec  16.2 MBytes   136 Mbits/sec    0   12.2 MBytes       
[  5] 798.00-799.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 799.00-800.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.2 MBytes       
[  5] 800.00-801.00 sec  10.8 MBytes  90.3 Mbits/sec    0   12.2 MBytes       
[  5] 801.00-802.00 sec  15.5 MBytes   130 Mbits/sec    0   12.2 MBytes       
[  5] 802.00-803.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 803.00-804.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 804.00-805.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 805.00-806.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 806.00-807.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 807.00-808.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 808.00-809.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 809.00-810.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 810.00-811.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 811.00-812.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 812.00-813.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 813.00-814.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 814.00-815.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.2 MBytes       
[  5] 815.00-816.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 816.00-817.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 817.00-818.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 818.00-819.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.2 MBytes       
[  5] 819.00-820.00 sec  20.1 MBytes   169 Mbits/sec    0   12.2 MBytes       
[  5] 820.00-821.00 sec  11.2 MBytes  94.4 Mbits/sec    0   12.2 MBytes       
[  5] 821.00-822.00 sec  12.9 MBytes   108 Mbits/sec    0   12.2 MBytes       
[  5] 822.00-823.00 sec  16.6 MBytes   140 Mbits/sec    0   12.2 MBytes       
[  5] 823.00-824.00 sec  10.4 MBytes  86.9 Mbits/sec    0   12.2 MBytes       
[  5] 824.00-825.00 sec  17.0 MBytes   143 Mbits/sec    0   12.2 MBytes       
[  5] 825.00-826.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 826.00-827.00 sec  5.50 MBytes  46.1 Mbits/sec    0   12.2 MBytes       
[  5] 827.00-828.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 828.00-829.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 829.00-830.00 sec  14.2 MBytes   120 Mbits/sec    0   12.2 MBytes       
[  5] 830.00-831.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.2 MBytes       
[  5] 831.00-832.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 832.00-833.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 833.00-834.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 834.00-835.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 835.00-836.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 836.00-837.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 837.00-838.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 838.00-839.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 839.00-840.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 840.00-841.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 841.00-842.00 sec  10.9 MBytes  91.3 Mbits/sec    0   12.2 MBytes       
[  5] 842.00-843.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.2 MBytes       
[  5] 843.00-844.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 844.00-845.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 845.00-846.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 846.00-847.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 847.00-848.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 848.00-849.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 849.00-850.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 850.00-851.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 851.00-852.00 sec  16.4 MBytes   137 Mbits/sec    0   12.2 MBytes       
[  5] 852.00-853.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 853.00-854.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 854.00-855.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 855.00-856.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 856.00-857.00 sec  11.0 MBytes  92.3 Mbits/sec    0   12.2 MBytes       
[  5] 857.00-858.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 858.00-859.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 859.00-860.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 860.00-861.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 861.00-862.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 862.00-863.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 863.00-864.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 864.00-865.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 865.00-866.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
